codistat,codprov_istat,segm3,km,casmez,year,index_stateint
33014,33,3,-360.541023696479,0,1994,32.09729540348053
33014,33,3,-360.541023696479,0,1996,31.12549155950546
33014,33,3,-360.541023696479,0,2001,34.3957299888134
33014,33,3,-360.541023696479,0,2006,43.6999459862709
33014,33,3,-360.541023696479,0,2008,68.12908339500427
33014,33,3,-360.541023696479,0,2013,35.04942450113595
33014,33,3,-360.541023696479,0,2018,60.13251022994518
34010,34,3,-325.2862601213492,0,1994,33.712401881814
34010,34,3,-325.2862601213492,0,1996,32.24631130695343
34010,34,3,-325.2862601213492,0,2001,40.40213590860367
34010,34,3,-325.2862601213492,0,2006,52.25191614031792
34010,34,3,-325.2862601213492,0,2008,65.65015006065369
34010,34,3,-325.2862601213492,0,2013,39.86831009760499
34010,34,3,-325.2862601213492,0,2018,59.17326794564724
34021,34,3,-321.2863121921979,0,1994,35.91460099071264
34021,34,3,-321.2863121921979,0,1996,32.82736551761627
34021,34,3,-321.2863121921979,0,2001,35.6735258102417
34021,34,3,-321.2863121921979,0,2006,49.62284515053034
34021,34,3,-321.2863121921979,0,2008,66.32886409759521
34021,34,3,-321.2863121921979,0,2013,40.8633923176676
34021,34,3,-321.2863121921979,0,2018,59.54428152740002
34030,34,3,-340.4115049422342,0,1994,34.97636623680592
34030,34,3,-340.4115049422342,0,1996,33.40036940574646
34030,34,3,-340.4115049422342,0,2001,40.70077803730965
34030,34,3,-340.4115049422342,0,2006,52.26014967262745
34030,34,3,-340.4115049422342,0,2008,68.52534794807434
34030,34,3,-340.4115049422342,0,2013,37.08441571518779
34030,34,3,-340.4115049422342,0,2018,60.18369673192501
34033,34,3,-333.6121252229545,0,1994,34.3832588493824
34033,34,3,-333.6121252229545,0,1996,32.57531893253326
34033,34,3,-333.6121252229545,0,2001,41.25028741359711
34033,34,3,-333.6121252229545,0,2006,54.01479941606522
34033,34,3,-333.6121252229545,0,2008,67.54418921470642
34033,34,3,-333.6121252229545,0,2013,38.45519969426095
34033,34,3,-333.6121252229545,0,2018,60.94165050983429
34037,34,3,-315.0819054105323,0,1994,35.99617882072926
34037,34,3,-315.0819054105323,0,1996,36.59031045436859
34037,34,3,-315.0819054105323,0,2001,41.75176811218262
34037,34,3,-315.0819054105323,0,2006,54.9016547203064
34037,34,3,-315.0819054105323,0,2008,65.57454204559326
34037,34,3,-315.0819054105323,0,2013,40.94210048019886
34037,34,3,-315.0819054105323,0,2018,60.28276444971561
34041,34,3,-324.0257650946327,0,1994,34.62235300242901
34041,34,3,-324.0257650946327,0,1996,34.7758880853653
34041,34,3,-324.0257650946327,0,2001,41.9273185133934
34041,34,3,-324.0257650946327,0,2006,55.79882806539536
34041,34,3,-324.0257650946327,0,2008,67.70918083190918
34041,34,3,-324.0257650946327,0,2013,42.97230844758451
34041,34,3,-324.0257650946327,0,2018,58.33048814535141
34049,34,3,-334.798344397396,0,1994,34.58270351588726
34049,34,3,-334.798344397396,0,1996,32.86956667900085
34049,34,3,-334.798344397396,0,2001,38.17925518751144
34049,34,3,-334.798344397396,0,2006,50.80836102366447
34049,34,3,-334.798344397396,0,2008,66.98724055290222
34049,34,3,-334.798344397396,0,2013,39.84290057606995
34049,34,3,-334.798344397396,0,2018,59.6449345946312
34050,34,3,-346.6405526988903,0,1994,32.6135593727231
34050,34,3,-346.6405526988903,0,1996,30.84710139036179
34050,34,3,-346.6405526988903,0,2001,32.49799329042435
34050,34,3,-346.6405526988903,0,2006,41.02023689448833
34050,34,3,-346.6405526988903,0,2008,66.13485097885132
34050,34,3,-346.6405526988903,0,2013,34.52624731697142
34050,34,3,-346.6405526988903,0,2018,59.417345341295
35002,35,3,-295.5223775467131,0,1994,39.52743396908045
35002,35,3,-295.5223775467131,0,1996,39.881227850914
35002,35,3,-295.5223775467131,0,2001,54.39863657951355
35002,35,3,-295.5223775467131,0,2006,72.18964006006718
35002,35,3,-295.5223775467131,0,2008,70.38907790184021
35002,35,3,-295.5223775467131,0,2013,30.26025651395321
35002,35,3,-295.5223775467131,0,2018,61.17850694060326
35005,35,3,-313.3647690643836,0,1994,36.46410477161407
35005,35,3,-313.3647690643836,0,1996,34.85073959827423
35005,35,3,-313.3647690643836,0,2001,40.60287880897522
35005,35,3,-313.3647690643836,0,2006,51.59456868469715
